model=a stopK=0 open_ms=19.52 (first open, includes any rebuild) 
search | very common punct  "(" | token  | none          | rows=77924   count=77924    p50=172.467ms p95=621.143ms mean=217.080
search | very common punct  "(" | token  | lang=rust     | rows=22732   count=22732    p50=126.717ms p95=130.038ms mean=126.655
search | very common punct  "(" | token  | class=keyword | rows=0       count=0        p50=93.819ms p95=98.518ms mean=94.423
search | very common punct  "(" | symbol | none          | rows=4036    count=77924    p50=535.371ms p95=625.918ms mean=545.098
search | very common punct  "(" | file   | none          | rows=2300    count=77924    p50=112.190ms p95=113.645ms mean=111.999
search | very common punct  "(" | file   | lang=rust     | rows=144     count=22732    p50=99.876ms p95=101.348ms mean=99.600
search | very common punct  "(" | file   | class=keyword | rows=0       count=0        p50=84.222ms p95=85.610ms mean=83.771
search | very common punct  "(" | repo   | none          | rows=32      count=77924    p50=103.860ms p95=106.044ms mean=103.169
search | very common punct  "(" | org    | none          | rows=4       count=77924    p50=105.606ms p95=108.405ms mean=104.703
search | very common 2      ")" | token  | none          | rows=77796   count=77796    p50=160.538ms p95=181.218ms mean=165.564
search | very common 2      ")" | token  | lang=rust     | rows=22732   count=22732    p50=115.862ms p95=121.163ms mean=115.852
search | very common 2      ")" | token  | class=keyword | rows=0       count=0        p50=82.236ms p95=85.067ms mean=82.078
search | very common 2      ")" | symbol | none          | rows=4032    count=77796    p50=537.020ms p95=538.253ms mean=536.292
search | very common 2      ")" | symbol | lang=rust     | rows=1880    count=22732    p50=120.334ms p95=123.100ms mean=120.550
search | very common 2      ")" | symbol | class=keyword | rows=0       count=0        p50=82.361ms p95=84.257ms mean=82.280
search | very common 2      ")" | file   | none          | rows=2296    count=77796    p50=109.894ms p95=111.033ms mean=109.802
search | very common 2      ")" | file   | lang=rust     | rows=144     count=22732    p50=98.817ms p95=101.499ms mean=99.027
search | very common 2      ")" | file   | class=keyword | rows=0       count=0        p50=80.733ms p95=86.250ms mean=81.462
search | very common 2      ")" | repo   | none          | rows=32      count=77796    p50=102.672ms p95=104.733ms mean=102.590
search | very common 2      ")" | repo   | lang=rust     | rows=4       count=22732    p50=97.832ms p95=98.624ms mean=97.535
search | very common 2      ")" | repo   | class=keyword | rows=0       count=0        p50=81.847ms p95=84.863ms mean=82.153
search | very common 2      ")" | org    | none          | rows=4       count=77796    p50=100.840ms p95=102.343ms mean=100.654
search | very common 2      ")" | org    | lang=rust     | rows=4       count=22732    p50=99.053ms p95=100.950ms mean=98.389
