model=p stopK=100000 open_ms=12.90 (first open, includes any rebuild) 
search | very common punct  "(" | token  | none          | rows=77924   count=77924    p50=49.137ms p95=50.144ms mean=51.503
search | very common punct  "(" | token  | lang=rust     | rows=22732   count=22732    p50=10.727ms p95=11.081ms mean=10.744
search | very common punct  "(" | token  | class=keyword | rows=0       count=0        p50=21.278ms p95=21.433ms mean=21.248
search | very common punct  "(" | symbol | none          | rows=4036    count=77924    p50=32.556ms p95=32.839ms mean=32.529
search | very common punct  "(" | file   | none          | rows=2300    count=77924    p50=30.258ms p95=31.460ms mean=30.397
search | very common punct  "(" | file   | lang=rust     | rows=144     count=22732    p50=5.542ms p95=5.670ms mean=5.561
search | very common punct  "(" | file   | class=keyword | rows=0       count=0        p50=21.785ms p95=22.703ms mean=21.895
search | very common punct  "(" | repo   | none          | rows=32      count=77924    p50=25.618ms p95=26.072ms mean=25.603
search | very common punct  "(" | org    | none          | rows=4       count=77924    p50=23.755ms p95=24.252ms mean=23.809
search | very common 2      ")" | token  | none          | rows=77796   count=77796    p50=49.197ms p95=49.616ms mean=49.157
search | very common 2      ")" | token  | lang=rust     | rows=22732   count=22732    p50=10.999ms p95=11.817ms mean=11.090
search | very common 2      ")" | token  | class=keyword | rows=0       count=0        p50=21.850ms p95=23.386ms mean=22.032
search | very common 2      ")" | symbol | none          | rows=4032    count=77796    p50=33.013ms p95=34.574ms mean=33.330
search | very common 2      ")" | symbol | lang=rust     | rows=1880    count=22732    p50=7.488ms p95=7.587ms mean=7.489
search | very common 2      ")" | symbol | class=keyword | rows=0       count=0        p50=22.119ms p95=23.002ms mean=22.210
search | very common 2      ")" | file   | none          | rows=2296    count=77796    p50=30.600ms p95=33.056ms mean=30.856
search | very common 2      ")" | file   | lang=rust     | rows=144     count=22732    p50=5.538ms p95=5.671ms mean=5.547
search | very common 2      ")" | file   | class=keyword | rows=0       count=0        p50=21.748ms p95=22.248ms mean=21.817
