v1: files=7227 tokens=9876231 symbols=140341 ingest_s=76.89 db_MiB=6256.5 B/token=664.3
v2: files=7227 tokens=9876231 symbols=140341 ingest_s=15.20 db_MiB=257.5 B/token=27.3

| query | v1 p50 ms | v2 p50 ms | v2/v1 | rows equal |
|---|---|---|---|---|
| common punct `(` token (847386 rows) | 3798.2 | 934.6 | 0.25x | true |
| common punct `(` symbol (129134 rows) | 5061.7 | 586.5 | 0.12x | true |
| common punct `(` file (6606 rows) | 3090.5 | 11.9 | 0.00x | true |
| common punct `(` repo (90 rows) | 2956.0 | 7.3 | 0.00x | true |
| common punct `(` org (9 rows) | 2848.4 | 7.1 | 0.00x | true |
| keyword `self` token (123768 rows) | 409.3 | 265.6 | 0.65x | true |
| keyword `self` symbol (41715 rows) | 557.6 | 232.3 | 0.42x | true |
| keyword `self` file (1179 rows) | 325.8 | 1.7 | 0.01x | true |
| keyword `self` repo (27 rows) | 314.7 | 1.2 | 0.00x | true |
| keyword `self` org (9 rows) | 311.8 | 1.1 | 0.00x | true |
| ident `new` token (26937 rows) | 88.8 | 129.4 | 1.46x | true |
| ident `new` symbol (9407 rows) | 990.4 | 120.8 | 0.12x | true |
| ident `new` file (3843 rows) | 74.3 | 7.2 | 0.10x | true |
| ident `new` repo (81 rows) | 70.3 | 5.2 | 0.07x | true |
| ident `new` org (9 rows) | 69.5 | 4.5 | 0.06x | true |
| ident `Result` token (17100 rows) | 87.2 | 101.9 | 1.17x | true |
| ident `Result` symbol (16785 rows) | 219.3 | 103.0 | 0.47x | true |
| ident `Result` file (954 rows) | 85.8 | 1.5 | 0.02x | true |
| ident `Result` repo (27 rows) | 82.8 | 1.0 | 0.01x | true |
| ident `Result` org (9 rows) | 74.1 | 1.0 | 0.01x | true |
| `new` token +class=identifier (26937 rows) | 88.4 | 130.0 | 1.47x | true |
| `new` file +class=identifier (stream walk, no rows) (3843 rows) | 74.7 | 112.4 | 1.51x | true |
| `(` token --limit 100 (100 rows) | 3541.6 | 6.8 | 0.00x | true |
| symbols `new` (468 rows) | 1.7 | 1.3 | 0.76x | true |
| symbols `new*` (684 rows) | 2.3 | 1.6 | 0.70x | true |
| symbols `*` (140341 rows) | 619.5 | 106.5 | 0.17x | true |
| symbols `fmt` (7317 rows) | 37.5 | 8.4 | 0.22x | true |
| symbols `*` --limit 100 (100 rows) | 621.0 | 11.8 | 0.02x | true |

peak RSS of this process (both stores, queries): VmHWM:	 2762556 kB
v1: file 6256.5 MiB, after redb compaction 5634.2 MiB
v2: file 257.5 MiB, after redb compaction 257.5 MiB
