v1: files=162 tokens=855726 symbols=14888 ingest_s=5.57 db_MiB=514.5 B/token=630.5
v2: files=162 tokens=855726 symbols=14888 ingest_s=0.88 db_MiB=32.6 B/token=40.0

| query | v1 p50 ms | v2 p50 ms | v2/v1 | rows equal |
|---|---|---|---|---|
| common punct `(` token (74673 rows) | 167.5 | 113.7 | 0.68x | true |
| common punct `(` symbol (13229 rows) | 172.5 | 85.8 | 0.50x | true |
| common punct `(` file (159 rows) | 123.3 | 0.2 | 0.00x | true |
| common punct `(` repo (2 rows) | 116.2 | 0.2 | 0.00x | true |
| common punct `(` org (1 rows) | 116.7 | 0.2 | 0.00x | true |
| keyword `self` token (13512 rows) | 34.5 | 35.2 | 1.02x | true |
| keyword `self` symbol (4502 rows) | 51.0 | 31.9 | 0.63x | true |
| keyword `self` file (111 rows) | 28.2 | 0.2 | 0.01x | true |
| keyword `self` repo (2 rows) | 27.4 | 0.1 | 0.00x | true |
| keyword `self` org (1 rows) | 29.9 | 0.1 | 0.00x | true |
| ident `new` token (1237 rows) | 3.0 | 9.9 | 3.36x | true |
| ident `new` symbol (674 rows) | 6.2 | 9.8 | 1.59x | true |
| ident `new` file (88 rows) | 2.5 | 0.1 | 0.05x | true |
| ident `new` repo (2 rows) | 2.3 | 0.1 | 0.05x | true |
| ident `new` org (1 rows) | 2.3 | 0.1 | 0.04x | true |
| ident `Result` token (1834 rows) | 6.9 | 11.8 | 1.70x | true |
| ident `Result` symbol (1802 rows) | 21.0 | 11.8 | 0.56x | true |
| ident `Result` file (84 rows) | 4.7 | 0.1 | 0.02x | true |
| ident `Result` repo (2 rows) | 4.6 | 0.1 | 0.02x | true |
| ident `Result` org (1 rows) | 4.5 | 0.1 | 0.02x | true |
| `new` token +class=identifier (1237 rows) | 2.9 | 9.8 | 3.44x | true |
| `(` token --limit 100 (100 rows) | 160.0 | 106.7 | 0.67x | true |
| symbols `new` (42 rows) | 0.1 | 1.6 | 15.09x | true |
| symbols `new*` (66 rows) | 0.2 | 2.0 | 12.27x | true |
| symbols `*` (14888 rows) | 50.6 | 33.1 | 0.65x | true |
| symbols `fmt` (793 rows) | 2.2 | 5.8 | 2.67x | true |
| symbols `*` --limit 100 (100 rows) | 49.0 | 33.4 | 0.68x | true |

peak RSS of this process (both stores, queries): VmHWM:	  517012 kB
v1: file 514.5 MiB, after redb compaction 514.5 MiB
v2: file 32.6 MiB, after redb compaction 32.6 MiB
